"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 17:51:59 GMT 2021","Mon Aug 23 17:52:11 GMT 2021","11954","","Tests.DeleteDataTest","","Tests.DeleteDataTest","testDeleteDataFromBio","repetition 2 of 3",""
"passed","Mon Aug 23 17:56:38 GMT 2021","Mon Aug 23 17:56:43 GMT 2021","5462","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","testPrivacyPolicy","repetition 1 of 3",""
"passed","Mon Aug 23 17:56:47 GMT 2021","Mon Aug 23 17:56:50 GMT 2021","3699","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","testPrivacyPolicy","repetition 3 of 3",""
"passed","Mon Aug 23 17:55:28 GMT 2021","Mon Aug 23 17:55:42 GMT 2021","14491","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLoginWithRegisteredUser","repetition 3 of 3",""
"passed","Mon Aug 23 17:57:55 GMT 2021","Mon Aug 23 17:58:22 GMT 2021","26433","","Tests.MorePageListTest","","Tests.MorePageListTest","testSearchByTitle","repetition 3 of 3",""
"passed","Mon Aug 23 17:50:08 GMT 2021","Mon Aug 23 17:50:24 GMT 2021","15956","","Tests.ChangeDataTest","","Tests.ChangeDataTest","testChangeDataInProfileBio","repetition 3 of 3",""
"passed","Mon Aug 23 17:52:55 GMT 2021","Mon Aug 23 17:53:09 GMT 2021","13934","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testRepeatedSearchFilmByTitleFromFileTest","repetition 3 of 3",""
"passed","Mon Aug 23 17:54:59 GMT 2021","Mon Aug 23 17:55:15 GMT 2021","16106","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLoginWithRegisteredUser","repetition 1 of 3",""
"passed","Mon Aug 23 17:51:12 GMT 2021","Mon Aug 23 17:51:23 GMT 2021","11175","","Tests.NewDataInputTest","","Tests.NewDataInputTest","testNewDataInputBio","repetition 1 of 3",""
"passed","Mon Aug 23 17:52:26 GMT 2021","Mon Aug 23 17:52:42 GMT 2021","16064","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testRepeatedSearchFilmByTitleFromFileTest","repetition 1 of 3",""
"passed","Mon Aug 23 17:52:42 GMT 2021","Mon Aug 23 17:52:55 GMT 2021","13748","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testRepeatedSearchFilmByTitleFromFileTest","repetition 2 of 3",""
"passed","Mon Aug 23 17:50:42 GMT 2021","Mon Aug 23 17:50:57 GMT 2021","15636","","Tests.RegistrationTests","","Tests.RegistrationTests","testSuccessfulRegistration","repetition 2 of 3",""
"passed","Mon Aug 23 17:53:09 GMT 2021","Mon Aug 23 17:53:16 GMT 2021","6535","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testSaveDataToFileRelease","repetition 1 of 1",""
"passed","Mon Aug 23 17:54:47 GMT 2021","Mon Aug 23 17:54:59 GMT 2021","11670","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","repetition 3 of 3",""
"passed","Mon Aug 23 17:52:11 GMT 2021","Mon Aug 23 17:52:26 GMT 2021","14959","","Tests.DeleteDataTest","","Tests.DeleteDataTest","testDeleteDataFromBio","repetition 3 of 3",""
